호선,역명,경도,위도
6,광흥창(서강),126.9325146,37.5474987
6,대흥(서강대앞),126.9423691,37.5477278
6,공덕,126.9519478,37.5435269
6,효창공원앞,126.9609907,37.5396242
6,삼각지,126.9732238,37.5346624
6,녹사평(용산구청),126.9855224,37.5344468
6,이태원,126.9946627,37.5345467
6,한강진,127.0018583,37.5408035
6,버티고개,127.0070539,37.5481921
6,약수,127.0105099,37.5547621
6,청구,127.0138788,37.5603611
6,신당,127.0162380,37.5672613
6,동묘앞,127.0158198,37.5716391
6,창신,127.0152011,37.5794533
6,보문,127.0197139,37.5858965
6,안암(고대병원앞),127.0294050,37.5861013
6,고려대(종암),127.0362278,37.5904313
6,월곡(동덕여대),127.0414311,37.6017569
6,상월곡(한국과학기술연구원),127.0498542,37.6071036
6,돌곶이,127.0571671,37.6106133
6,석계,127.0668268,37.6152737
6,태릉입구,127.0751544,37.6191471
6,화랑대(서울여대입구),127.0832777,37.6199179
6,봉화산(서울의료원),127.0933299,37.6164211
6,신내,127.1090750,37.6120645
7,장암,127.0530094,37.7003245
7,도봉산,127.0466596,37.6890641
7,수락산,127.0553673,37.6774664
7,마들,127.0570330,37.6676209
7,노원,127.0608257,37.6535198
7,중계,127.0651865,37.6426954
7,하계,127.0685397,37.6352562
7,공릉(서울과학기술대),127.0727600,37.6257670
7,태릉입구,127.0751544,37.6191471
7,먹골,127.0777268,37.6108680
7,중화,127.0790680,37.6017163
7,상봉(시외버스터미널),127.0860401,37.5967697
7,면목,127.0873732,37.5892231
7,사가정,127.0885737,37.5825390
7,용마산(용마폭포공원),127.0870757,37.5740377
7,중곡,127.0842209,37.5657613
7,군자(능동),127.0805476,37.5567350
7,어린이대공원(세종대),127.0739744,37.5471387
7,건대입구,127.0691396,37.5405519
7,뚝섬유원지,127.0670172,37.5319545
7,청담,127.0492172,37.5187264
7,강남구청,127.0472408,37.5182116
7,학동,127.0317684,37.5142978
7,논현,127.0317684,37.5142978
7,반포,127.0118472,37.5082967
7,고속터미널,127.0048978,37.5048472
7,내방,126.9932287,37.4881339
7,이수,126.9811742,37.4851760
7,남성,126.9711309,37.4847432
7,숭실대입구(살피재),126.9540726,37.4958272
7,상도,126.9473048,37.5035133
7,장승배기,126.9380993,37.5043110
7,신대방삼거리,126.9277041,37.4996500
7,보라매,126.9203433,37.4992817
7,신풍,126.9094185,37.5003259
7,대림(구로구청),126.8968031,37.4928563
7,남구로,126.8867260,37.4849262
7,가산디지털단지,126.8822398,37.4824214
7,철산,126.8699871,37.4767207
7,광명사거리,126.8530824,37.4798145
7,천왕,126.8384230,37.4871607
7,온수(성공회대입구),126.8214479,37.4913597
8,암사,127.1282309,37.5511668
8,천호(풍납토성),127.1251279,37.5385095
8,강동구청,127.1205768,37.5306697
8,몽촌토성(평화의문),127.1107741,37.5169881
8,잠실(송파구청),127.1041048,37.5149220
8,석촌,127.1056430,37.5066522
8,송파,127.1121190,37.4998704
8,가락시장,127.1182195,37.4929149
8,문정,127.1215243,37.4877691
8,장지,127.1266254,37.4775900
8,복정,127.1267184,37.4706674
8,남위례,127.1391653,37.4630926
8,산성,127.1497420,37.4544660
8,남한산성입구(성남법원?검찰청),127.1588561,37.4497420
8,단대오거리,127.1504468,37.4433977
8,신흥,127.1504468,37.4433977
8,수진,127.1404287,37.4376515
8,모란,127.1295777,37.4342641
9,언주,127.0342749,37.5075064
9,선정릉,127.0434907,37.5114955
9,삼성중앙,127.0485228,37.5116435
9,봉은사,127.0632545,37.5147756
9,종합운동장,127.0769311,37.5115466
9,삼전,127.0876348,37.5040351
9,석촌고분,127.0969608,37.5032016
9,석촌,127.1056430,37.5066522
9,송파나루,127.1127478,37.5109720
9,한성백제,127.1133334,37.5180039
9,올림픽공원(한국체대),127.1311479,37.5165603
9,둔촌오륜,127.1424450,37.5179013
9,중앙보훈병원,127.1483691,37.5283480
경춘선,회기역,127.057936,37.589802
경춘선,청량리역,127.046516,37.580543
경춘선,중랑역,127.076152,37.594948
경춘선,상봉역,127.085853,37.595254
경춘선,망우역,127.092318,37.599288
경춘선,신내역,127.103277,37.612855
경춘선,갈매역,127.114803,37.634135
경춘선,별내역,127.127208,37.642221
경춘선,퇴계원역,127.143858,37.648316
경춘선,사릉역,127.176839,37.651145
경춘선,금곡역,127.207931,37.637414
경춘선,평내호평역,127.244452,37.653229
경춘선,천마산역,127.285731,37.658995
경춘선,마석역,127.311713,37.652328
경춘선,대성리역,127.379165,37.683909
경춘선,청평역,127.426541,37.735484
경춘선,상천역,127.4542,37.770405
경춘선,가평역,127.510693,37.814515
경춘선,굴봉산역,127.557732,37.832086
경춘선,백양리역,127.589085,37.830881
경춘선,강촌역,127.634054,37.805728
경춘선,김유정역,127.714302,37.818475
경춘선,남춘천역,127.723761,37.864071
경춘선,춘천역,127.716603,37.884391
